event method bin count 
ins ma 0.0 0 
ins ma 0.10 0 
ins ma 0.20 0 
ins ma 0.30 1 
ins ma 0.40 1 
ins ma 0.50 10 
ins ma 0.60 24 
ins ma 0.70 77 
ins ma 0.80 258 
ins ma 0.90 353 
ins ma 1.0 304 
ins ma 1.1 195 
ins ma 1.2 86 
ins ma 1.3 47 
ins ma 1.4 29 
ins ma 1.5 9 
ins ma 1.6 5 
ins ma 1.7 1 
ins ma 1.8 0 
ins ma 1.9 0 
ins ma 2.0 0 
del ma 0.0 0 
del ma 0.10 0 
del ma 0.20 0 
del ma 0.30 0 
del ma 0.40 2 
del ma 0.50 12 
del ma 0.60 37 
del ma 0.70 86 
del ma 0.80 237 
del ma 0.90 379 
del ma 1.0 298 
del ma 1.1 170 
del ma 1.2 92 
del ma 1.3 47 
del ma 1.4 28 
del ma 1.5 5 
del ma 1.6 6 
del ma 1.7 0 
del ma 1.8 1 
del ma 1.9 0 
del ma 2.0 0 
ins ma.tree 0.0 0 
ins ma.tree 0.10 0 
ins ma.tree 0.20 0 
ins ma.tree 0.30 1 
ins ma.tree 0.40 1 
ins ma.tree 0.50 8 
ins ma.tree 0.60 19 
ins ma.tree 0.70 69 
ins ma.tree 0.80 206 
ins ma.tree 0.90 316 
ins ma.tree 1.0 309 
ins ma.tree 1.1 212 
ins ma.tree 1.2 124 
ins ma.tree 1.3 57 
ins ma.tree 1.4 53 
ins ma.tree 1.5 16 
ins ma.tree 1.6 5 
ins ma.tree 1.7 3 
ins ma.tree 1.8 1 
ins ma.tree 1.9 0 
ins ma.tree 2.0 0 
del ma.tree 0.0 0 
del ma.tree 0.10 0 
del ma.tree 0.20 0 
del ma.tree 0.30 0 
del ma.tree 0.40 1 
del ma.tree 0.50 8 
del ma.tree 0.60 54 
del ma.tree 0.70 181 
del ma.tree 0.80 212 
del ma.tree 0.90 267 
del ma.tree 1.0 264 
del ma.tree 1.1 180 
del ma.tree 1.2 101 
del ma.tree 1.3 71 
del ma.tree 1.4 38 
del ma.tree 1.5 14 
del ma.tree 1.6 6 
del ma.tree 1.7 2 
del ma.tree 1.8 0 
del ma.tree 1.9 1 
del ma.tree 2.0 0 
ins hist 0.0 0 
ins hist 0.10 0 
ins hist 0.20 3 
ins hist 0.30 18 
ins hist 0.40 36 
ins hist 0.50 63 
ins hist 0.60 117 
ins hist 0.70 143 
ins hist 0.80 225 
ins hist 0.90 254 
ins hist 1.0 196 
ins hist 1.1 136 
ins hist 1.2 83 
ins hist 1.3 53 
ins hist 1.4 41 
ins hist 1.5 13 
ins hist 1.6 11 
ins hist 1.7 6 
ins hist 1.8 1 
ins hist 1.9 1 
ins hist 2.0 0 
del hist 0.0 0 
del hist 0.10 1 
del hist 0.20 7 
del hist 0.30 29 
del hist 0.40 56 
del hist 0.50 67 
del hist 0.60 107 
del hist 0.70 176 
del hist 0.80 200 
del hist 0.90 238 
del hist 1.0 192 
del hist 1.1 136 
del hist 1.2 74 
del hist 1.3 53 
del hist 1.4 32 
del hist 1.5 23 
del hist 1.6 5 
del hist 1.7 2 
del hist 1.8 0 
del hist 1.9 1 
del hist 2.0 1 
ins histrec 0.0 0 
ins histrec 0.10 0 
ins histrec 0.20 4 
ins histrec 0.30 24 
ins histrec 0.40 70 
ins histrec 0.50 87 
ins histrec 0.60 109 
ins histrec 0.70 160 
ins histrec 0.80 234 
ins histrec 0.90 231 
ins histrec 1.0 175 
ins histrec 1.1 115 
ins histrec 1.2 79 
ins histrec 1.3 50 
ins histrec 1.4 31 
ins histrec 1.5 14 
ins histrec 1.6 13 
ins histrec 1.7 1 
ins histrec 1.8 3 
ins histrec 1.9 0 
ins histrec 2.0 0 
del histrec 0.0 0 
del histrec 0.10 1 
del histrec 0.20 26 
del histrec 0.30 71 
del histrec 0.40 48 
del histrec 0.50 133 
del histrec 0.60 164 
del histrec 0.70 206 
del histrec 0.80 229 
del histrec 0.90 179 
del histrec 1.0 142 
del histrec 1.1 106 
del histrec 1.2 33 
del histrec 1.3 31 
del histrec 1.4 14 
del histrec 1.5 15 
del histrec 1.6 0 
del histrec 1.7 2 
del histrec 1.8 0 
del histrec 1.9 0 
del histrec 2.0 0 
ins histref 0.0 0 
ins histref 0.10 0 
ins histref 0.20 3 
ins histref 0.30 21 
ins histref 0.40 74 
ins histref 0.50 92 
ins histref 0.60 102 
ins histref 0.70 178 
ins histref 0.80 217 
ins histref 0.90 233 
ins histref 1.0 188 
ins histref 1.1 101 
ins histref 1.2 87 
ins histref 1.3 46 
ins histref 1.4 30 
ins histref 1.5 13 
ins histref 1.6 11 
ins histref 1.7 1 
ins histref 1.8 3 
ins histref 1.9 0 
ins histref 2.0 0 
del histref 0.0 0 
del histref 0.10 2 
del histref 0.20 20 
del histref 0.30 72 
del histref 0.40 54 
del histref 0.50 127 
del histref 0.60 168 
del histref 0.70 210 
del histref 0.80 228 
del histref 0.90 188 
del histref 1.0 143 
del histref 1.1 95 
del histref 1.2 32 
del histref 1.3 36 
del histref 1.4 16 
del histref 1.5 7 
del histref 1.6 1 
del histref 1.7 1 
del histref 1.8 0 
del histref 1.9 0 
del histref 2.0 0 
ins histslow 0.0 0 
ins histslow 0.10 0 
ins histslow 0.20 3 
ins histslow 0.30 15 
ins histslow 0.40 36 
ins histslow 0.50 62 
ins histslow 0.60 93 
ins histslow 0.70 153 
ins histslow 0.80 202 
ins histslow 0.90 256 
ins histslow 1.0 200 
ins histslow 1.1 152 
ins histslow 1.2 87 
ins histslow 1.3 53 
ins histslow 1.4 44 
ins histslow 1.5 21 
ins histslow 1.6 11 
ins histslow 1.7 9 
ins histslow 1.8 2 
ins histslow 1.9 1 
ins histslow 2.0 0 
del histslow 0.0 0 
del histslow 0.10 0 
del histslow 0.20 5 
del histslow 0.30 27 
del histslow 0.40 47 
del histslow 0.50 67 
del histslow 0.60 99 
del histslow 0.70 156 
del histslow 0.80 206 
del histslow 0.90 235 
del histslow 1.0 181 
del histslow 1.1 142 
del histslow 1.2 96 
del histslow 1.3 65 
del histslow 1.4 32 
del histslow 1.5 25 
del histslow 1.6 9 
del histslow 1.7 5 
del histslow 1.8 1 
del histslow 1.9 1 
del histslow 2.0 1 
ins histfit 0.0 0 
ins histfit 0.10 0 
ins histfit 0.20 2 
ins histfit 0.30 5 
ins histfit 0.40 23 
ins histfit 0.50 52 
ins histfit 0.60 95 
ins histfit 0.70 195 
ins histfit 0.80 251 
ins histfit 0.90 263 
ins histfit 1.0 192 
ins histfit 1.1 140 
ins histfit 1.2 76 
ins histfit 1.3 41 
ins histfit 1.4 36 
ins histfit 1.5 19 
ins histfit 1.6 8 
ins histfit 1.7 0 
ins histfit 1.8 2 
ins histfit 1.9 0 
ins histfit 2.0 0 
del histfit 0.0 0 
del histfit 0.10 1 
del histfit 0.20 4 
del histfit 0.30 28 
del histfit 0.40 51 
del histfit 0.50 76 
del histfit 0.60 126 
del histfit 0.70 182 
del histfit 0.80 234 
del histfit 0.90 216 
del histfit 1.0 187 
del histfit 1.1 128 
del histfit 1.2 66 
del histfit 1.3 52 
del histfit 1.4 30 
del histfit 1.5 11 
del histfit 1.6 3 
del histfit 1.7 3 
del histfit 1.8 1 
del histfit 1.9 0 
del histfit 2.0 1 
ins hist2 0.0 75 
ins hist2 0.10 405 
ins hist2 0.20 176 
ins hist2 0.30 5 
ins hist2 0.40 0 
ins hist2 0.50 0 
ins hist2 0.60 0 
ins hist2 0.70 0 
ins hist2 0.80 0 
ins hist2 0.90 0 
ins hist2 1.0 0 
ins hist2 1.1 0 
ins hist2 1.2 0 
ins hist2 1.3 0 
ins hist2 1.4 0 
ins hist2 1.5 0 
ins hist2 1.6 0 
ins hist2 1.7 0 
ins hist2 1.8 0 
ins hist2 1.9 0 
ins hist2 2.0 0 
del hist2 0.0 182 
del hist2 0.10 382 
del hist2 0.20 93 
del hist2 0.30 4 
del hist2 0.40 0 
del hist2 0.50 0 
del hist2 0.60 0 
del hist2 0.70 0 
del hist2 0.80 0 
del hist2 0.90 0 
del hist2 1.0 0 
del hist2 1.1 0 
del hist2 1.2 0 
del hist2 1.3 0 
del hist2 1.4 0 
del hist2 1.5 0 
del hist2 1.6 0 
del hist2 1.7 0 
del hist2 1.8 0 
del hist2 1.9 0 
del hist2 2.0 0 
ins histprk 0.0 0 
ins histprk 0.10 3 
ins histprk 0.20 34 
ins histprk 0.30 76 
ins histprk 0.40 71 
ins histprk 0.50 95 
ins histprk 0.60 115 
ins histprk 0.70 136 
ins histprk 0.80 160 
ins histprk 0.90 202 
ins histprk 1.0 169 
ins histprk 1.1 114 
ins histprk 1.2 88 
ins histprk 1.3 58 
ins histprk 1.4 42 
ins histprk 1.5 15 
ins histprk 1.6 16 
ins histprk 1.7 5 
ins histprk 1.8 1 
ins histprk 1.9 0 
ins histprk 2.0 0 
del histprk 0.0 0 
del histprk 0.10 8 
del histprk 0.20 71 
del histprk 0.30 43 
del histprk 0.40 86 
del histprk 0.50 109 
del histprk 0.60 141 
del histprk 0.70 193 
del histprk 0.80 203 
del histprk 0.90 164 
del histprk 1.0 152 
del histprk 1.1 99 
del histprk 1.2 46 
del histprk 1.3 43 
del histprk 1.4 28 
del histprk 1.5 10 
del histprk 1.6 3 
del histprk 1.7 0 
del histprk 1.8 1 
del histprk 1.9 0 
del histprk 2.0 0 
ins histrand 0.0 0 
ins histrand 0.10 0 
ins histrand 0.20 2 
ins histrand 0.30 5 
ins histrand 0.40 22 
ins histrand 0.50 50 
ins histrand 0.60 108 
ins histrand 0.70 186 
ins histrand 0.80 248 
ins histrand 0.90 256 
ins histrand 1.0 197 
ins histrand 1.1 146 
ins histrand 1.2 77 
ins histrand 1.3 42 
ins histrand 1.4 35 
ins histrand 1.5 15 
ins histrand 1.6 9 
ins histrand 1.7 0 
ins histrand 1.8 2 
ins histrand 1.9 0 
ins histrand 2.0 0 
del histrand 0.0 0 
del histrand 0.10 1 
del histrand 0.20 3 
del histrand 0.30 23 
del histrand 0.40 51 
del histrand 0.50 71 
del histrand 0.60 134 
del histrand 0.70 177 
del histrand 0.80 235 
del histrand 0.90 226 
del histrand 1.0 184 
del histrand 1.1 124 
del histrand 1.2 69 
del histrand 1.3 53 
del histrand 1.4 29 
del histrand 1.5 13 
del histrand 1.6 3 
del histrand 1.7 2 
del histrand 1.8 1 
del histrand 1.9 0 
del histrand 2.0 1 
ins muscle 0.0 0 
ins muscle 0.10 4 
ins muscle 0.20 55 
ins muscle 0.30 46 
ins muscle 0.40 50 
ins muscle 0.50 119 
ins muscle 0.60 113 
ins muscle 0.70 166 
ins muscle 0.80 225 
ins muscle 0.90 204 
ins muscle 1.0 156 
ins muscle 1.1 107 
ins muscle 1.2 68 
ins muscle 1.3 45 
ins muscle 1.4 18 
ins muscle 1.5 15 
ins muscle 1.6 5 
ins muscle 1.7 3 
ins muscle 1.8 1 
ins muscle 1.9 0 
ins muscle 2.0 0 
del muscle 0.0 0 
del muscle 0.10 0 
del muscle 0.20 1 
del muscle 0.30 47 
del muscle 0.40 82 
del muscle 0.50 60 
del muscle 0.60 123 
del muscle 0.70 210 
del muscle 0.80 215 
del muscle 0.90 187 
del muscle 1.0 164 
del muscle 1.1 132 
del muscle 1.2 73 
del muscle 1.3 41 
del muscle 1.4 39 
del muscle 1.5 12 
del muscle 1.6 8 
del muscle 1.7 4 
del muscle 1.8 1 
del muscle 1.9 1 
del muscle 2.0 0 
ins probcons 0.0 0 
ins probcons 0.10 0 
ins probcons 0.20 0 
ins probcons 0.30 3 
ins probcons 0.40 53 
ins probcons 0.50 89 
ins probcons 0.60 147 
ins probcons 0.70 199 
ins probcons 0.80 240 
ins probcons 0.90 206 
ins probcons 1.0 148 
ins probcons 1.1 129 
ins probcons 1.2 66 
ins probcons 1.3 57 
ins probcons 1.4 27 
ins probcons 1.5 16 
ins probcons 1.6 12 
ins probcons 1.7 2 
ins probcons 1.8 3 
ins probcons 1.9 2 
ins probcons 2.0 1 
del probcons 0.0 0 
del probcons 0.10 0 
del probcons 0.20 0 
del probcons 0.30 14 
del probcons 0.40 84 
del probcons 0.50 84 
del probcons 0.60 141 
del probcons 0.70 214 
